,Educational Center Name,Purpose of Education,Education Start Date,Education End Date,Education Time,Attendance Qualification,Classroom Information,Education Amount,Material Amount,Capacity,Recruitment Start Date,Recruitment End Date,Age Eligibility,Sex Eligibility,Education Status,Education Sequence
0,[4050세대 취업기본교육] 5.23(목) “4050 재취업 가능성을 높이는 핵심전략!”,,2024-05-23,2024-05-23,13:30~16:30,목요일,* 서울일자리센터 3층 교육장(서울시청 무교별관) *,무료,(재료비 무료),20,2024-04-17,2024-05-22,40세 ~ 59세,성별 제한없음,모집중,1000002755
1,"【5월 온라인 청년 2030 취업심화교육】 “공기업*사기업 자기소개서와 면접, 한 번에 끝내기!” 5.21(화)~5.22(수)",,2024-05-21,2024-05-22,13:30~16:30,"화요일,수요일",* 유튜브 라이브방송 *,무료,(재료비 무료),150,2024-04-23,2024-05-21,,,모집중,1000002758
2,【4월 대면(오프라인) 청년 2030 취업특강】 “2024 공공기관 채용트렌드와 생성형 AI 활용 취업준비!” 4.23(화),,2024-04-23,2024-04-23,13:30~16:30,화요일,* 서울일자리센터 3층 교육장(서울시청 무교별관) *,무료,(재료비 무료),20,2024-03-20,2024-04-23,20세 ~ 39세,성별 제한없음,교육마감,1000002734
3,"[4060세대 취업심화교육] 4.18(목)~4.19(금) “4060 명견만리 기반 이,전직 전략”",,2024-04-18,2024-04-19,13:30~16:30,"목요일,금요일",유튜브 라이브방송,무료,(재료비 무료),100,2024-03-19,2024-04-18,40세 ~ 69세,성별 제한없음,교육마감,1000002732
4,"[4050세대 이,전직 취업기본교육] 3.21(목) “4050 성공하는 진로전환 핵심전략”",,2024-03-21,2024-03-21,13:30~16:30,목요일,유튜브 라이브방송,무료,(재료비 무료),100,2024-02-13,2024-03-21,40세 ~ 59세,성별 제한없음,교육마감,1000002717
5,【3월 온라인 청년 2030(신입) 취업교육】 “면접까지 한 번에 준비하는 자기소개서 작성법!” 3.19(화),,2024-03-19,2024-03-19,13:30~16:30,화요일,* 유튜브 라이브방송 *,무료,(재료비 무료),180,2024-01-30,2024-03-19,20세 ~ 39세,성별 제한없음,교육마감,1000002715
6,[4060세대 중장년 취업특강] 11.16(목) “성공적 진로전환을 위한 진로설계!”,,2023-11-16,2023-11-16,13:30~16:30,목요일,* 서울일자리센터 3층 교육장(서울시청 무교별관) *,무료,(재료비 무료),20,2023-10-10,2023-11-16,40세 ~ 69세,성별 제한없음,교육마감,1000002687
7,【11월 온라인 청년 2030 취업특강】 “NCS채용 개발 전문가가 알려주는 NCS채용 합격노하우 대방출!” 11.14(화),,2023-11-14,2023-11-14,13:30~16:30,화요일,* 유튜브 라이브방송 *,무료,(재료비 무료),200,2023-09-25,2023-11-14,20세 ~ 39세,성별 제한없음,교육마감,1000002682
8,【10월 대면(오프라인) 집합교육 청년 2030 심화교육】 “따라하는 취업준비! Step by step!” 10.24(화)~10.25(수),,2023-10-24,2023-10-25,13:30~16:30,"화요일,수요일",* 서울일자리센터 3층 교육장(서울시청 무교별관) *,무료,(재료비 무료),20,2023-09-05,2023-10-24,20세 ~ 39세,성별 제한없음,교육마감,1000002669
9,[5060세대 재진입 취업기본교육] 10.12(목) “5060 중장년 인생 3모작 준비전략!”,,2023-10-12,2023-10-12,13:30~16:30,목요일,* 서울일자리센터 3층 교육장(서울시청 무교별관) *,무료,(재료비 무료),20,2023-09-04,2023-10-12,50세 ~ 69세,성별 제한없음,교육마감,1000002668
10,【9월 대면(오프라인) 집합교육 청년 2030 심화교육】 “한번에 끝내는 실전 취업! 역량위주의 자기소개서 & 면접 대비!” 9.19(화)~9.20(수),,2023-09-19,2023-09-20,13:30~16:30,"화요일,수요일",* 서울일자리센터 3층 교육장(서울시청 무교별관) *,무료,(재료비 무료),20,2023-08-03,2023-09-19,20세 ~ 39세,성별 제한없음,교육마감,1000002642
11,[4060세대 취업심화교육] 9.6(수)~7(목) “중장년 4060 커리어 성공 노하우”,,2023-09-06,2023-09-07,13:30~16:30,"수요일,목요일",* 서울일자리센터 3층 교육장(서울시청 무교별관) *,무료,(재료비 무료),20,2023-08-02,2023-09-06,40세 ~ 69세,성별 제한없음,교육마감,1000002641
12,【8월 대면(오프라인) 집합교육 청년 2030(신입) 취업교육】 “공공기관 전문 면접관의 취업효능감 UP! 성공 취업 가이드!” 8.22(화),,2023-08-22,2023-08-22,13:30~16:30,화요일,* 서울일자리센터 3층 교육장(서울시청 무교별관) *,무료,(재료비 무료),20,2023-07-06,2023-08-22,20세 ~ 39세,성별 제한없음,교육마감,1000002631
13,[4060세대 취업특강] 8.3(목) “4060 이/전직 성공전략”,,2023-08-03,2023-08-03,13:30~16:30,목요일,유튜브 라이브방송,무료,(재료비 무료),200,2023-06-19,2023-08-03,40세 ~ 69세,성별 제한없음,교육마감,1000002612
14,【7월 온라인 청년 2030 취업특강】 “2023년 채용트렌드 이해와 공기업·사기업·외국계기업 취업준비전략!” 7.18(화),,2023-07-18,2023-07-18,13:30~16:30,화요일,*유튜브 라이브방송*,무료,(재료비 무료),200,2023-06-19,2023-07-18,20세 ~ 39세,성별 제한없음,교육마감,1000002611
15,[4060세대 취업심화교육] 6.21(수)~22(목) “4060 나에게 맞는 이/전직 성공 취업전략”,,2023-06-21,2023-06-22,13:30~16:30,"수요일,목요일",* 서울일자리센터 3층 교육장(서울시청 무교별관) *,무료,(재료비 무료),20,2023-05-19,2023-06-21,40세 ~ 69세,성별 제한없음,교육마감,1000002595
16,【6월 대면(오프라인) 집합교육 청년 2030(경력) 취업교육】 “채용담당자의 호감을 이끌어 내는 경력PR 노하우!” 6.20(화),,2023-06-20,2023-06-20,13:30~16:30,화요일,* 서울일자리센터 3층 교육장(서울시청 무교별관) *,무료,(재료비 무료),20,2023-05-04,2023-06-20,20세 ~ 39세,성별 제한없음,교육마감,1000002581
17,[4050세대 취업기본교육] 5.25(목) “4050 이력서 자기소개서 작성법 및 면접방법”,,2023-05-25,2023-05-25,13:30~16:30,목요일,* 서울일자리센터 3층 교육장(서울시청 무교별관) *,무료,(재료비 무료),20,2023-04-28,2023-05-24,40세 ~ 59세,성별 제한없음,교육마감,1000002580
18,【5월 대면(오프라인) 집합교육 청년 2030 심화교육】 “취업 맥락 짚기! 한 번에 끝내는 취업 준비!” 5.23(화)~5.24(수),,2023-05-23,2023-05-24,13:30~16:30,"화요일,수요일",* 서울일자리센터 3층 교육장(서울시청 무교별관) *,무료,(재료비 무료),20,2023-03-31,2023-05-23,20세 ~ 39세,성별 제한없음,교육마감,1000002565
19,[4060세대 취업심화교육] 5.2(화)~5.3(수) “4060 중장년 재취업 핵심전략”,,2023-05-02,2023-05-03,13:30~16:30,"화요일,수요일",유튜브 라이브방송,무료,(재료비 무료),150,2023-03-23,2023-05-02,40세 ~ 69세,성별 제한없음,교육마감,1000002564
20,【4월 온라인 청년 2030 취업특강】 “공기업 사외 면접관이 알려주는 공기업 취업준비전략!” 4.18(화),,2023-04-18,2023-04-18,13:30~16:30,화요일,*유튜브 라이브방송*,무료,(재료비 무료),200,2023-03-07,2023-04-18,20세 ~ 39세,성별 제한없음,교육마감,1000002552
21,[5060세대 취업기본교육] 3.28(화) “RESTART 취업전략”,,2023-03-28,2023-03-28,13:30~16:30,화요일,유튜브 라이브방송,무료,(재료비 무료),120,2023-02-22,2023-03-28,50세 ~ 69세,성별 제한없음,교육마감,1000002547
22,【3월 온라인 청년 2030(신입) 취업교육】 “최종 합격으로 가는 이기는 면접(공기업/사기업 면접편)!” 3.21(화),,2023-03-21,2023-03-21,13:30~16:30,화요일,*유튜브 라이브방송*,무료,(재료비 무료),190,2023-02-06,2023-03-21,20세 ~ 39세,성별 제한없음,교육마감,1000002538
23,[4050세대 취업기본교육] 2.23(목) “교토삼굴(狡兎三窟) 이/전직 취업성공전략”,,2023-02-23,2023-02-23,13:30~16:30,목요일,유튜브 라이브방송,무료,(재료비 무료),100,2023-02-02,2023-02-23,40세 ~ 59세,성별 제한없음,교육마감,1000002535
24,[4060세대 취업특강] “나의 이해 및 취업전략 수립!” 11.29(화),,2022-11-29,2022-11-29,13:30~16:30,화요일,*유튜브 라이브방송*,무료,(재료비 무료),140,2022-10-31,2022-11-29,39세 ~ 69세,성별 제한없음,교육마감,1000002501
25,[2030 청년취업특강] 11.15(화) “NCS채용 및 공공기관 취업 성공 전략”,,2022-11-15,2022-11-15,13:30~16:30,화요일,*유튜브 라이브방송*,무료,(재료비 무료),140,2022-10-19,2022-11-15,20세 ~ 39세,성별 제한없음,교육마감,1000002491
26,[4060세대 심화교육] “중장년 4060 커리어 성공 노하우!” 11.1(화)~11.2(수),,2022-11-01,2022-11-02,13:30~16:30,"화요일,수요일",유튜브 라이브방송,무료,(재료비 무료),120,2022-09-30,2022-11-01,39세 ~ 69세,성별 제한없음,교육마감,1000002480
27,[청년2030취업심화교육] 10.18(화)~19(수) “단기 속성 취업 마스터”,,2022-10-18,2022-10-19,13:30~16:30,"화요일,수요일",*유튜브 라이브방송*,무료,(재료비 무료),120,2022-09-14,2022-10-18,20세 ~ 39세,성별 제한없음,교육마감,1000002473
28,"[2030 청년취업교육] 10.6(목) “나의 경력 분석, 취업 준비 노하우”",,2022-10-06,2022-10-06,13:30~16:30,목요일,*유튜브 라이브방송*,무료,(재료비 무료),120,2022-09-14,2022-10-06,20세 ~ 39세,성별 제한없음,교육마감,1000002472
29,[5060세대 취업교육] “5060 신중년 내일 찾기!” 10.4(화),,2022-10-04,2022-10-04,13:30~16:30,화요일,*유튜브 라이브방송*,무료,(재료비 무료),120,2022-09-14,2022-10-04,49세 ~ 69세,성별 제한없음,교육마감,1000002471
30,[청년2030취업심화교육] 9.21(수)~22(목) “심층 입사지원서 작성법 & 직무 및 기업분석”,,2022-09-21,2022-09-22,13:30~16:30,"수요일,목요일",*유튜브 라이브방송*,무료,(재료비 무료),130,2022-08-17,2022-09-21,20세 ~ 39세,성별 제한없음,교육마감,1000002451
31,[4050세대 취업교육] “정보력이 구직력이다!” 이/전직 전략 9.20(화),,2022-09-20,2022-09-20,13:30~16:30,화요일,* 유튜브 라이브방송 *,무료,(재료비 무료),120,2022-08-17,2022-09-20,40세 ~ 59세,성별 제한없음,교육마감,1000002450
32,"[2030 청년취업교육] 8.23(화) “최종 합격으로 가는 이기는 면접(공기업,사기업 면접편)”",,2022-08-23,2022-08-23,13:30~16:30,화요일,*유튜브 라이브방송*,무료,(재료비 무료),150,2022-07-14,2022-08-23,20세 ~ 39세,성별 제한없음,교육마감,1000002422
33,[4060세대 심화교육] “노동시장 정보와 최근 취업동향 파악 및 생애경력설계!” 8.9(화)~8.10(수),,2022-08-09,2022-08-10,13:30~16:30,"화요일,수요일",유튜브 라이브방송,무료,(재료비 무료),140,2022-07-14,2022-08-09,,,교육마감,1000002423
34,[청년2030 취업특강] 7.19(화) “NCS 기반 채용트랜드 이해와 그에따른 취업준비 전략”,,2022-07-19,2022-07-19,13:30~16:30,화요일,*유튜브 라이브방송*,무료,(재료비 무료),130,2022-06-13,2022-07-19,20세 ~ 39세,성별 제한없음,교육마감,1000002402
35,[5060세대 취업교육] “5060 신중년 인생 3모작 출발이다!” 7.12(화),,2022-07-12,2022-07-12,13:30~16:30,화요일,유튜브 라이브방송,무료,(재료비 무료),120,2022-06-10,2022-07-12,49세 ~ 99세,성별 제한없음,교육마감,1000002401
36,[청년2030취업심화교육] 6.21(화)~22(수) “준비과정부터 면접까지! 속성으로 완성하는 취업 포인트 특강!”,,2022-06-21,2022-06-22,13:30~16:30,"화요일,수요일",*유튜브 라이브방송*,무료,(재료비 무료),100,2022-05-12,2022-06-21,20세 ~ 39세,성별 제한없음,교육마감,1000002367
37,[4060세대 심화교육] “4060 중장년 재취업 핵심전략!” 6.14(화)~6.15(수),,2022-06-14,2022-06-15,13:30~16:30,"화요일,수요일",유튜브 라이브방송,무료,(재료비 무료),50,2022-05-10,2022-06-14,40세 ~ 99세,성별 제한없음,교육마감,1000002364
38,[2030청년(신입)취업교육] 6.9(목) “청년 취업을 위한 취업전략과 노하우”,,2022-06-09,2022-06-09,13:30~16:30,목요일,*유튜브 라이브방송*,무료,(재료비 무료),50,2022-05-10,2022-06-09,20세 ~ 39세,성별 제한없음,교육마감,1000002365
39,[2030청년(경력) 취업교육] 5.24(화) “슈퍼루키로 업그레이드하기”,,2022-05-24,2022-05-24,13:30~16:30,화요일,*유튜브 라이브방송*,무료,(재료비 무료),50,2022-04-18,2022-05-24,20세 ~ 39세,성별 제한없음,교육마감,1000002356
40,[4050세대 취업교육] “잘 사는 4050 커리어 디자인하기” 이/전직 전략 5.17(화),,2022-05-17,2022-05-17,13:30~16:30,화요일,유튜브 라이브방송,무료,(재료비 무료),50,2022-04-15,2022-05-17,,,교육마감,1000002355
41,[4060세대 심화교육] “4060 이직/전직 성공 전략!” 5.10(화)~5.11(수),,2022-05-10,2022-05-11,13:30~16:30,"화요일,수요일",유튜브 라이브방송,무료,(재료비 무료),50,2022-04-11,2022-05-10,40세 ~ 69세,성별 제한없음,교육마감,1000002348
42,[청년2030 취업특강] 4.14(목) “알잘딱깔센 공공기관 취업”,,2022-04-14,2022-04-14,13:30~16:30,목요일,*유튜브 라이브방송*,무료,(재료비 무료),100,2022-03-15,2022-04-14,20세 ~ 39세,성별 제한없음,교육마감,1000002331
43,[4060세대 취업특강] 함께하는 취업준비 “경력을 돋보이게 하는 취업전략” 4.12(화),,2022-04-12,2022-04-12,13:30~16:30,화요일,유튜브 라이브방송,무료,(재료비 무료),50,2022-03-14,2022-04-12,40세 ~ 69세,성별 제한없음,교육마감,1000002329
44,"[5060세대 취업교육] “Bravo, My Job!” 재진입 전략 3.29(화)",,2022-03-29,2022-03-29,13:30~16:30,화요일,유튜브 라이브방송,무료,(재료비 무료),50,2022-02-22,2022-03-29,50세 ~ 69세,성별 제한없음,교육마감,1000002326
45,[청년2030취업심화교육] 3.22(화)~23(수) “취업! 목표 수립부터 면접 공략까지”,,2022-03-22,2022-03-23,13:30~16:30,"화요일,수요일",*유튜브 라이브방송*,무료,(재료비 무료),50,2022-02-21,2022-03-22,20세 ~ 39세,성별 제한없음,교육마감,1000002325
46,"[청년2030 취업교육] 3.3(목) “자기소개서, 이렇게 준비하면 면접까지 합격”",,2022-03-03,2022-03-03,13:30~16:30,목요일,*유튜브 라이브방송*,무료,(재료비 무료),100,2022-02-09,2022-03-03,20세 ~ 39세,성별 제한없음,교육마감,1000002318
47,[4050세대 취업교육] “호시우보(虎視牛步)” 이/전직 전략 2.22(화) 13:30~16:30,,2022-02-22,2022-02-22,13:30~16:30,화요일,유튜브 라이브방송,무료,(재료비 무료),50,2022-02-07,2022-02-22,40세 ~ 59세,성별 제한없음,교육마감,1000002317
